Module Number,Image,Attribution/Reference/Copyright,Link to image,License / Copyright Status
Module 2,Sir George Simpson,Stephen Pearce/archives.gov.on.ca/ Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Sir_George_Simpson.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 2,"York Factory, 1853",Peter Winkworth Collection of Canadiana/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-13T20%3A55%3A35Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3022558&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,"Freighter's or York boat on the shore of the Red River near Fort Garry, Manitoba",H.L. Hime / Library and Archives Canada / C-020286,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-04T22%3A25%3A12Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3399764&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,"Meeting of the Boats - Swampy Lake, [Man.], 1878", Geological Survey of Canada / Library and Archives Canada / PA-039920,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-17T15%3A58%3A21Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3389969&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Métis traders,C-004164/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-11T21%3A26%3A25Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194973&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,"Canada's earliest Industry. Colin Fraser, trader at Fort Chipweyan, sorts fox, beaver, mink & other precious furs.",C-001229/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-02-02T21%3A57%3A19Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3371698&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 2,Extermination of bison to 1889,Citynoise/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Extermination_of_bison_to_1889.png,https://creativecommons.org/licenses/by-sa/3.0/deed.en
Module 2,Hudson's Bay Company - Nipigon House,Thunder Bay Museum/Flickr/ Public Domain Attribution-Share Alike 3.0 Unported,https://flic.kr/p/tQXjr9,https://creativecommons.org/publicdomain/mark/1.0/
,,,,
Module 3,M1913 Wampum Belt,M1913/ McCord Museum ,http://collection.mccord.mcgill.ca/en/collection/artifacts/M1913/,Copyright: McCord Museum
Module 3,Whelk,Jay Cross/Flickr/ CC BY 2.0 ,https://flic.kr/p/4LYADf,https://creativecommons.org/licenses/by/2.0/
Module 3,Quahog ,NOAA Photo Library/Flickr/ CC BY  2.0 ,https://flic.kr/p/9fcStE,https://creativecommons.org/licenses/by/2.0/
Module 3,Quahogs,NOAA Photo Library/Flickr/ CC BY  2.0 ,https://flic.kr/p/8MYjuN,https://creativecommons.org/licenses/by/2.0/
Module 3,Wampum Beads made by EJ Perry ,Mary Meredith Uyvsdi/ Wikimedia Commons Public Domain,https://commons.wikimedia.org/wiki/File:Wampum_ej_perry.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Chefs Iroquois,Electric Studio/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-23T07%3A18%3A00Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3630053&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copright: Expired
Module 3,Scroll-Hoffman-1885,Wikimedia Commons/Public domain,https://en.wikipedia.org/wiki/File:Scroll-Hoffman-1885.PNG,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Dutch Colony Map 1635,Willem Blaey by Dedden/ Wikimedia Commons/Public domain,https://commons.wikimedia.org/wiki/File:Nieuwned2.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Two row wampum,Ebedgert/Wikimedia Commons/ Public Domain,https://en.wikipedia.org/wiki/File:Tworowwampum.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,New Netherland 'NOVI BELGII NOVAEQUE ANGLIAE NEC NON PARTIS VIRGINIAE TABULA,Nicolaas Visscher by the Dutch National Library/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:New_Netherland_'NOVI_BELGII_NOVAEQUE_ANGLIAE_NEC_NON_PARTIS_VIRGINIAE_TABULA'.jpg#,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,French Colonies,Nicolas de Fer by Frank Schulenburg/Wikimedia Commons/ Public Domain,"https://commons.wikimedia.org/wiki/File:Fer_-_Le_Canada,_ou_Nouvelle_France,_la_Floride,_la_Virginie,_Pensilvanie,_Caroline.png#filelinks#",https://creativecommons.org/publicdomain/mark/1.0/
Module 3,British Colonies 1763-76,William Robert Shepherd by PxMa/Wikimedia Commons /Public Domain,https://commons.wikimedia.org/wiki/File%3ABritish_colonies_1763-76_shepherd1923.PNG#,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Flag- Map of the World ,Transparent 6lue/Wikimedia Commons/ Public Domain ,https://commons.wikimedia.org/wiki/File:Flag-map_of_the_world.svg#metadata,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Treaty Enforcement,Sarah Deer/Flickr/ CC BY 2.0,https://flic.kr/p/4AfLUo,https://creativecommons.org/licenses/by/2.0/
Module 3,"Indian Chiefs Medal, Presented to commemorate Treaty Numbers 3, 4, 5, 6, 7, 8 (Queen Victoria)",1964-1-1M/ Library and Archives Canada ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T20%3A53%3A38Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2851193&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired 
Module 3,The Great Peace of Montreal,Dr Papillon and Hoedic/Flickr/ CC BY 2.0,https://flic.kr/p/6Eopy,https://creativecommons.org/licenses/by/2.0/
Module 3,Great Peace Montreal,Secretary of Callière and other hand/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File%3AGrande_Paix_Montreal.jpg,
Module 3,English Empire in North America,"Society Of Anti-Gallicans, William Herbert, and Robert Sayer/Library of Congress/ Public Domain",https://www.loc.gov/item/74696120/,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,1727 Ratification at Casco Bay of the Treaty of 1725,Indian Treaties Collection Nova Scotia Archives O/S no. 525,https://novascotia.ca/archives/mikmaq/archives.asp?ID=616#,Copyright: Public Domain
Module 3,Reproduction of 1727 Ratification at Casco Bay of the Treaty of 1725,Peace and Friendship Treaties Nova Scotia Archives,https://novascotia.ca/archives/mikmaq/archives.asp?ID=617#,Copyright: Public Domain
Module 3,North America 1762-83,Jon Platek by Roke/ Wikimedia Commons Public Domain,https://commons.wikimedia.org/wiki/File:NorthAmerica1762-83.png#,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,King George III in Coronation Robes,Allan Ramsay by vgGv1tsB1URdhg/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/w/index.php?curid=23604082,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Studio portrait of the surviving Six Nations warriors,Ed Tompkins/Jeffrey Thomas/1952-010 NPC Library and Archives Canada/C-085127,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-23T10%3A53%3A10Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3630023&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Indian Chiefs Medal, Presented to commemorate Treaty Numbers 3, 4, 5, 6, 7, 8 (Queen Victoria) ",Joseph Shepherd Wyon/Alfred Benjamin Wyon/1964-001 X PIC/ Library and Archives Canada/Acc. No. 1964-1-1M,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T20%3A53%3A38Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2851193&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 3,Great Lakes from space crop labeled,"NASA/Goddard Space Flight Centre, and ORBIMAGE/Public Domain",https://commons.wikimedia.org/wiki/File:Great_Lakes_from_space_crop_labeled.jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,William Benjamin Robinson,YUL89YYZ/Wikimedia Commons/ CC BY 2.5 ,https://commons.wikimedia.org/wiki/File%3AWilliam_Benjamin_Robinson.png,https://creativecommons.org/licenses/by/2.5/ca/
Module 3,1850 Robinson Superior Treaty Area,"Red Rock Indian Band/ Reserve Lands, Our Traditional Territories and Reserve Lands"," http://rrib.ca/~wwwrrib/about-us/our-treaty/
http://rrib.ca/~wwwrrib/files/cache/4d9641110caa3c7878b2416512205283_f175.jpg   ",Credit: Red Rock Indian Band
Module 3,Robinson Huron Treaty - Surrender ,"Indian Affairs, Treaties and surrenders, Library and Archives of Canada",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T06%3A38%3A35Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3963991&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Sir James Douglas,Sir James Douglas by British Columbia Archives,https://commons.wikimedia.org/wiki/File%3ASir_James_Douglas.jpg  ,Copyright: Expired
Module 3,Hudson's Bay Company exterior,"Phillip Timms photo, Vancouver Public Library 640
","http://www3.vpl.ca/spe/histphotos

http://www3.vpl.vancouver.bc.ca/dbtw-wpd/exec/dbtwpub.dll?AC=GET_RECORD&XC=/dbtw-wpd/exec/dbtwpub.dll&BU=http%3A%2F%2Fwww3.vpl.vancouver.bc.ca%2Fspe%2Fhistphotos%2FhistPhotoAdvancedSearch.html&TN=PHOTOS&SN=AUTO30395&SE=73447&RN=0&MR=20&TR=100000&TX=1000&ES=0&CS=0&XP=&RF=briefweb&EF=&DF=Full+Photo&RL=0&EL=0&DL=0&NP=2&ID=&MF=&MQ=&TI=0&DT=&ST=0&IR=5063&NR=0&NB=0&SV=0&SS=0&BG=&FG=&QS=&OEX=ISO-8859-1&OEH=ISO-8859-1",Credit: Vancouver Public Library
Module 3,Selkirk Grant,George Bryce/Royal Society of Canada/ Public Domain,https://commons.wikimedia.org/wiki/File%3ASelkirks_land_grant_(Assiniboia).jpg,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Hon. William McDougall,"William James Topley/Topley Studio, Topley Series E/ Library and Archives Canada/ PA-027387",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T08%3A27%3A59Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3422965&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng#,Copyright: Expired
Module 3,Louis D. Riel ,Duffin and Co./Library and Archives Canada/C-052177,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A14%3A59Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192039&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Councillors of the Provisional Government of the Métis Nation,"Topley Series TXB, Library and Archives Canada/PA-012854",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-08-30T18%3A32%3A36Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194516&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Manitoba Act ,"Statutes of Canada 1870, c. 3,  p. 20./Library and Archives Canada/ Crown Copyright (unrestricted)",https://www.collectionscanada.gc.ca/confederation/023001-7118-e.html,Copyright: The Crown 
Module 3,"Dumont, Marie Thérèse; form C, no. 693 for $240.00",Source: Library and Archives Canada/Department of the Interior fonds/e000046025,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-08-30T18%3A56%3A29Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=1509287&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright:  Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 3,Scrip Commission,"At Devil's Lake, Provincial Archives of Saskatchewan/ Public Domain",http://scaa.sk.ca/ourlegacy/permalink/27530,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,"DUMONT, Gabriel (Son of Isidore Dumont) - Scrip number 8146 - Amount 160.00$",Source: Library and Archives Canada/Department of the Interior fonds/e011154424,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T08%3A44%3A52Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=4564661&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Government of Canada. Reproduced with the permission of Library and Archives Canada (2016)
Module 3,[Upper] Fort Garry,"William James Topley, Topley Series SC/Library and Archives Canada/PA-009839",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A52%3A44Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3304152&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Men standing with pile of buffalo skills, Michigan Carbon Works",Detroit Public Library/ Digital Collections DPA4901/ Burton Historical collection,http://digitalcollections.detroitpubliclibrary.org/islandora/object/islandora%3A151477#,"Credit: Courtesy of Burton Historical Collection, Detroit Public Library. "
Module 3,Conference at Québec in 1864,James Ashfield/Robert Harris fonds/ Library and Archives Canada/ C-001855,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T09%3A11%3A32Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194982&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng ,Copyright: Expired
Module 3,The Annexation Joke,Henri Julien/Library and Archives Canada/C-072741,http://www.bac-lac.gc.ca/eng/discover/canadian-illustrated-news-1869-1883/Pages/item.aspx?IdNumber=2867& ,
Module 3,"Selkirk Treaty, Western Treaty ",Indian Affairs/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T17%3A51%3A26Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3972577&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,The Manitoba Indian Treaty - Indian Chief Harranguing at the Stone Fort,Peter Winkworth Collection of Canadiana/Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T21%3A01%3A13Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3022506&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Montreal Garrison at Regina with Chief Piapot and five other chiefs, SK 1885",II-306116.0 Oliver B. Buell/ McCord Museum,http://www.musee-mccord.qc.ca/en/collection/artifacts/II-306116.0/?Lang=1&accessnumber=II-306116.0  Link to license: https://drive.google.com/drive/folders/0B7aw4-g-HC66VGFQM3luRlV3TVE,Copyright: McCord Museum
Module 3,Norway House - inside the Fort Treaty ,Robert Bell/Library and Archives Canada/C-00652,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T16%3A01%3A00Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3264457&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright Expired
Module 3,Cypress Hills 1,Erik Lizee/Eriklizee/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File%3ACypressHills1.JPG,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Lieut. Gov. Edgar Dewdney,Topley Studio/ Library and Archives Canada/PA-027070,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T10%3A13%3A36Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3421700&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Mistahi maskwa (Big Bear ca. 1825-1888), a Plains Cree chief, trading",O.B. Buell/ Library and Archives Canada/PA-118768 ,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-08-19T21%3A11%3A58Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192491&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Treaty Medal ,Joseph Shepherd Wyon/Alfred Benjamin Wyon/ Library and Archives Canada/1964-001 X PIC,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T20%3A53%3A38Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2851193&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Cree chief Big Bear at Hudson Bay Company trading post,Library and Archives Canada/C-008183,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T10%3A22%3A17Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194523&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Abraham Wikaskokiséyin, chef de la tribu des cris, décédé","Bibliothéque et Archives Nationales du Québec/Vol. 8, no 17 (26 avril 1877), p. 198 PER O- 104; MIC A209",http://collections.banq.qc.ca/ark:/52327/2070376,Copyright: Expired
Module 3,Mistahi Maskwa,"O.B. Buell, Gilbert Bagnani collection/Library and Archives Canada/PA-118768",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-08-19T21%3A11%3A58Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192491&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Poundmaker, also known as The Drummer, (ca. 1842-1886), a Cree chief, later adopted by Crowfoot of the Blackfoot Nation",Oliver Buell/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A06%3A53Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3241485&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Hon. Alexander Morris, Minister of Inland Revenue ",William James Topley/Library and Archives/ PA-025469,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-25T10%3A36%3A17Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3219245&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Treaty Medal ,Joseph Shepherd Wyon/Alfred Benjamin Wyon/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T20%3A53%3A38Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=2851193&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Natives of Fort Hope at Lansdowne House,Dept. of Indian Affairs and Northern Development/ Library and Archives Canada/1971-205,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-04-05T21%3A10%3A58Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366811&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Treaty 9,Dept. of Indian and Northern Affairs/ Library and Archives Canada,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T17%3A44%3A01Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3367570&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=en,Copyright: Expired
Module 3,Treaty 9 Payment,Duncan Campbell Scott/ Library and Archives Canada/PA-059589,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A47%3A31Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3193401&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Two Ojibway women from Flying Post First Nation during Treaty 9 payment,Duncan Campbell Scott/ Library and Archives Canada/PA-059592,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T20%3A09%3A30Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3366791&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Batoche,Kayoty/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File:Batoche_Battle_Field_1885.jpg,Copyright: Expired
Module 3,Batoche 2,danrmg/Flickr/ CC BY 2.0,https://flic.kr/p/8ciJn,https://creativecommons.org/licenses/by/2.0/
Module 3,Riel,Duffin and Co./Library and Archives Canada/C-052177,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A14%3A59Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192039&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,Gabriel Dumont,Harvey J. Strong/ Library and Archives Canada/e011156649,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A31%3A56Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3629842&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,"Troops on the march, North West Rebellion",MP-1993.6.2.30/ McCord Museum,http://www.mccord-museum.qc.ca/en/collection/artifacts/MP-1993.6.2.30&section=196#,Copyright: McCord Museum
Module 3,Group photograph of Metis and Native prisoners from the North West Rebellion,O.B. Buell/ Library and Archives Canada/PA-118760,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-03-30T18%3A25%3A25Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194525&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 3,James Bay and Northern Quebec Agreement of 1975,Joseph B~commonswiki/Wikimedia Commons/ Public Domain,https://commons.wikimedia.org/wiki/File%3ANordQu%C3%A9bec.png,https://creativecommons.org/publicdomain/mark/1.0/
Module 3,Nunavut Land Claims Agreement ,"An Act respecting an Agreement between the Inuit of the Nunavut Settlement Area and Her Majesty the Queen in right of Canada"""" (short title: Nunavut Land Claims Agreement Act), Statutes of Canada 1993, v. II, c. 29, p. 1259/ Reproduction, Library and Archives Canada/ Crown Copyright (unrestricted)",https://www.collectionscanada.gc.ca/confederation/023001-7143-e.html,Copyright: Crown Copyright (unrestricted)
,,,,
Module 4,Eagle Flying ,stacyvitallo/ Pixabay/ CC0,https://pixabay.com/photo-1029908/, https://creativecommons.org/publicdomain/zero/1.0/
Module 4,Inuit couple from Pangnirtun, Dept. of Indian and Northern Affairs/ Library and Archives Canada/PA-186863,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T01%3A47%3A25Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3194748&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 4,Indian couples married in the Anglican Church by Rev. Leslie Garrett. Taken during Treaty 9 payments,Library and Archives Canada/C-0068917,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T01%3A43%3A40Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3228173&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 4,"Multiple Wampum belts, Haudenosaunee",ARC Identifier 523577/ National archives/ Public Domain,https://catalog.archives.gov/id/523577,https://creativecommons.org/publicdomain/mark/1.0/
Module 4,Smudge bowl ,University of Alberta,No Link,Copyright: University of Alberta 
Module 4,Sweat Lodge,BLMIdaho/Flickr/ CC BY 2.0 ,https://flic.kr/p/E3ero6,https://creativecommons.org/licenses/by/2.0/
Module 4,Jail Bars,AlexVan/Pixabay/ CC0,https://pixabay.com/en/prison-prison-cell-jail-crime-553836/, https://creativecommons.org/publicdomain/zero/1.0/
Module 4,Louis Riel addressing the jury during his trial for treason,"O.B. Buell, Library and Archives Canada/1966-094, C-001879",http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-0510T23%3A13%3A51Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3192595&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
Module 4,"	The Annexation Joke",Library and Archives Canada,"http://www.bac-lac.gc.ca/eng/discover/canadian-illustrated-news-1869-1883/Pages/item.aspx?IdNumber=2867& (image)  
http://collectionscanada.gc.ca/pam_archives/index.php?fuseaction=genitem.displayItem&lang=eng&rec_nbr=2944266&rec_nbr_list=2944266 ",
Module 4,"Elder teacher Maata Maiku, left, burns a small fire in a tent, while wearing her traditional Inuktitut clothing at the Nakasuk Elementary School in Iqaluit, Nunavut on Wednesday, April 1, 2009.",THE CANADIAN PRESS/Nathan Denette,N/A,THE CANADIAN PRESS/Nathan Denette/
Module 4,Fort Simpson Residential School,J.F. Moran / Bibliothèque et Archives Canada / PA-102575,http://collectionscanada.gc.ca/ourl/res.php?url_ver=Z39.88-2004&url_tim=2016-05-11T01%3A02%3A55Z&url_ctx_fmt=info%3Aofi%2Ffmt%3Akev%3Amtx%3Actx&rft_dat=3628582&rfr_id=info%3Asid%2Fcollectionscanada.gc.ca%3Apam&lang=eng,Copyright: Expired
